name,name_lc,wikidata,start_date,term,gender
ABRIGNANI Ignazio,abrignani ignazio,Q3792296,2016-10-13,17,male
ADORNATO Ferdinando,adornato ferdinando,Q3742537,2014-12-16,17,male
AGOSTINELLI Donatella,agostinelli donatella,Q14636340,2013-03-15,17,female
AGOSTINI Luciano,agostini luciano,Q14636345,2013-03-15,17,male
AGOSTINI Roberta,agostini roberta,Q14636346,2013-03-15,17,female
AIELLO Ferdinando,aiello ferdinando,Q14636368,2014-06-19,17,male
AIRAUDO Giorgio,airaudo giorgio,Q14636376,2013-03-15,17,male
ALBANELLA Luisella,albanella luisella,Q16163302,2013-03-15,17,female
ALBERTI Ferdinando,alberti ferdinando,Q15964380,2013-03-15,17,male
ALBINI Tea,albini tea,Q15636153,2014-05-07,17,female
ALFANO Angelino,alfano angelino,Q535055,2013-11-18,17,male
ALFANO Gioacchino,alfano gioacchino,Q3764802,2013-11-18,17,male
ALFREIDER Daniel,alfreider daniel,Q6444890,2013-03-21,17,male
ALLASIA Stefano,allasia stefano,Q3972340,2013-04-17,17,male
ALLI Paolo,alli paolo,Q16164768,2013-11-18,17,male
ALTIERI Trifone,altieri trifone,Q23773338,2015-11-19,17,male
AMATO Maria,amato maria,Q15142809,2013-03-15,17,female
AMENDOLA Vincenzo,amendola vincenzo,Q15711019,2013-03-15,17,male
AMICI Sesa,amici sesa,Q3847545,2013-03-15,17,female
AMODDIO Sofia,amoddio sofia,Q16165860,2013-03-15,17,female
ANGELUCCI Antonio,angelucci antonio,Q3335245,2013-03-15,17,male
ANTEZZA Maria,antezza maria,Q3847121,2013-03-15,17,female
ANZALDI Michele,anzaldi michele,Q16167433,2013-03-15,17,male
ARCHI Bruno,archi bruno,Q12467290,2013-03-15,17,male
ARGENTIN Ileana,argentin ileana,Q3796375,2013-03-15,17,female
ARLOTTI Tiziano,arlotti tiziano,Q15654010,2013-03-15,17,male
ARTINI Massimo,artini massimo,Q16576929,2015-02-05,17,male
ASCANI Anna,ascani anna,Q16526911,2013-03-15,17,female
ATTAGUILE Angelo,attaguile angelo,Q16389266,2013-03-15,17,male
BALDASSARRE Marco,baldassarre marco,Q16575745,2015-02-05,17,male
BALDELLI Simone,baldelli simone,Q3961182,2013-03-15,17,male
BARADELLO Maurizio,baradello maurizio,Q21076763,2015-09-17,17,male
BARBANTI Sebastiano,barbanti sebastiano,Q15613956,2016-03-17,17,male
BARETTA Pier Paolo,baretta pier paolo,Q3902934,2013-03-15,17,male
BARGERO Cristina,bargero cristina,Q15967967,2013-03-15,17,female
BARONI Massimo Enrico,baroni massimo enrico,Q16576956,2013-03-15,17,male
BARUFFI Davide,baruffi davide,Q15972766,2013-03-15,17,male
BASILIO Tatiana,basilio tatiana,Q16612357,2013-03-15,17,female
